ACCIDENT_NO,SURFACE_COND,SURFACE_COND_DESC,SURFACE_COND_SEQ
T20230000553,1,Dry,0
T20230000560,1,Dry,1
T20230000572,1,Dry,0
T20230000612,1,Dry,1
T20230000618,9,Unk.,0
T20200023617,1,Dry,0
T20200023644,1,Dry,1
T20200023670,9,Unk.,1
T20200023716,1,Dry,1
T20200023727,1,Dry,1
T20200023741,1,Dry,1
T20200023767,1,Dry,0
T20200023799,1,Dry,1
T20200023851,1,Dry,1
T20200023880,1,Dry,1
T20200023887,1,Dry,1
T20200023890,1,Dry,1
T20200023899,1,Dry,1
T20210000007,1,Dry,1
T20210000047,1,Dry,1
T20210000051,1,Dry,1
T20210000060,1,Dry,0
T20210000069,1,Dry,1
T20210000093,1,Dry,1
T20210000104,1,Dry,1
T20210000125,2,Wet,0
T20210000145,9,Unk.,1
T20210000155,1,Dry,1
T20210000166,1,Dry,1
T20210000185,1,Dry,1
T20210000197,1,Dry,1
T20210000204,1,Dry,1
T20210000212,2,Wet,1
T20210000217,2,Wet,1
T20210000236,1,Dry,1
T20210000253,1,Dry,1
T20210000282,1,Dry,1
T20210000287,1,Dry,1
T20210000306,2,Wet,1
T20210000331,1,Dry,0
T20210000349,9,Unk.,0
T20210000359,1,Dry,1
T20210000365,1,Dry,0
T20210000374,1,Dry,0
T20210000403,9,Unk.,0
T20230018570,1,Dry,0
T20230018573,1,Dry,0
T20230018579,1,Dry,0
T20230018583,1,Dry,0
T20230018588,1,Dry,1
T20230018603,1,Dry,1
T20230018624,1,Dry,1
T20230018625,1,Dry,0
T20230018681,1,Dry,1
T20230018694,1,Dry,1
T20230018743,1,Dry,1
T20230018763,1,Dry,1
T20230018778,1,Dry,1
T20230018792,1,Dry,1
T20230018805,1,Dry,0
T20230018805,2,Wet,1
T20230018822,1,Dry,0
T20230018827,2,Wet,1
T20230018835,2,Wet,1
T20230018885,1,Dry,1
T20230018891,1,Dry,1
T20230018902,2,Wet,1
T20230018918,1,Dry,1
T20230018922,1,Dry,0
T20230018927,1,Dry,1
T20230018935,1,Dry,1
T20230018937,1,Dry,1
T20230018952,9,Unk.,0
T20230018958,1,Dry,0
T20230018991,1,Dry,0
T20230019005,1,Dry,1
T20230019028,1,Dry,0
T20230019034,1,Dry,1
T20230019054,1,Dry,0
T20230019055,1,Dry,0
T20230019075,1,Dry,0
T20230019083,1,Dry,0
T20230019101,9,Unk.,0
T20230019106,1,Dry,0
T20230019114,1,Dry,1
T20230019155,1,Dry,0
T20230019175,1,Dry,1
T20230019224,1,Dry,0
T20230019255,9,Unk.,0
T20230019257,2,Wet,1
T20230019277,9,Unk.,1
T20230019300,1,Dry,1
T20230019322,2,Wet,1
T20230019329,1,Dry,0
T20230019344,1,Dry,1
T20230019347,2,Wet,0
T20230019356,1,Dry,0
T20230019384,1,Dry,1
T20230019404,9,Unk.,0
T20230019418,2,Wet,1
T20230019420,1,Dry,1
T20230019425,1,Dry,1
T20230019471,1,Dry,1
T20230019497,2,Wet,1
T20230019500,1,Dry,1
T20230019507,2,Wet,0
T20230019512,1,Dry,1
T20230019520,1,Dry,0
T20230019533,1,Dry,0
T20230019558,1,Dry,1
T20230019561,9,Unk.,0
T20230000623,1,Dry,1
T20230000637,1,Dry,0
T20230000680,1,Dry,1
T20230000718,9,Unk.,1
T20230000734,1,Dry,1
T20230000755,1,Dry,1
T20230000785,1,Dry,0
T20230000790,1,Dry,1
T20230000799,1,Dry,1
T20230000818,1,Dry,0
T20230000829,1,Dry,1
T20230000830,1,Dry,1
T20230000845,1,Dry,0
T20230000853,1,Dry,0
T20230000877,1,Dry,0
T20230000883,1,Dry,0
T20230000895,1,Dry,0
T20230000897,1,Dry,1
T20230000913,1,Dry,0
T20230000928,1,Dry,1
T20230000934,1,Dry,1
T20230000936,1,Dry,1
T20230000946,1,Dry,0
T20230000948,1,Dry,1
T20230000954,1,Dry,0
T20230000960,1,Dry,0
T20230000978,1,Dry,0
T20230000980,1,Dry,0
T20230001040,1,Dry,1
T20230001058,1,Dry,0
T20230001069,1,Dry,1
T20230001099,1,Dry,1
T20230001157,1,Dry,0
T20230001166,1,Dry,1
T20230001168,1,Dry,1
T20230001172,1,Dry,1
T20230001174,1,Dry,0
T20230001217,1,Dry,0
T20230001247,1,Dry,0
T20230001250,1,Dry,0
T20230001259,2,Wet,1
T20230001270,2,Wet,1
T20230001308,1,Dry,0
T20230001314,1,Dry,1
T20230001331,1,Dry,0
T20230001358,1,Dry,1
T20230001372,1,Dry,1
T20230001378,1,Dry,0
T20230001396,1,Dry,1
T20230001398,1,Dry,0
T20230001406,1,Dry,0
T20230001427,1,Dry,1
T20230001431,1,Dry,1
T20230001437,1,Dry,0
T20230001448,1,Dry,1
T20230001474,1,Dry,0
T20230001476,1,Dry,0
T20230001480,1,Dry,0
T20230001500,1,Dry,1
T20230001531,1,Dry,0
T20230001545,1,Dry,0
T20230001556,1,Dry,1
T20230001563,1,Dry,1
T20230001580,1,Dry,0
T20230001582,1,Dry,0
T20230001590,1,Dry,1
T20230001601,9,Unk.,1
T20230001615,1,Dry,1
T20230001644,1,Dry,1
T20230001650,1,Dry,1
T20230001696,1,Dry,0
T20230001711,1,Dry,1
T20230001713,1,Dry,0
T20230001724,1,Dry,0
T20230001726,1,Dry,1
T20230001817,1,Dry,0
T20230001838,1,Dry,0
T20230001842,1,Dry,1
T20230001862,1,Dry,1
T20230001881,1,Dry,1
T20230001914,1,Dry,1
T20230001923,1,Dry,1
T20230001951,1,Dry,1
T20230001972,1,Dry,1
T20230002000,9,Unk.,1
T20230002019,1,Dry,0
T20230002024,1,Dry,1
T20230002037,1,Dry,0
T20230002042,1,Dry,1
T20230002062,1,Dry,1
T20230002087,1,Dry,1
T20230002099,1,Dry,1
T20230002117,1,Dry,1
T20230002140,1,Dry,1
T20230002165,1,Dry,1
T20230002170,1,Dry,0
T20230002174,1,Dry,0
T20230002184,1,Dry,1
T20230002186,1,Dry,0
T20230002207,1,Dry,0
T20230002216,1,Dry,1
T20230002218,1,Dry,0
T20230002231,1,Dry,0
T20230002247,1,Dry,0
T20230002258,2,Wet,0
T20230002275,1,Dry,1
T20230000782,1,Dry,1
T20230000811,1,Dry,1
T20230000814,1,Dry,0
T20230000833,1,Dry,0
T20230000866,1,Dry,1
T20230000874,1,Dry,1
T20230000889,1,Dry,0
T20230000899,1,Dry,0
T20230000938,1,Dry,0
T20230000951,1,Dry,0
T20230000956,1,Dry,0
T20230000966,1,Dry,0
T20230001016,1,Dry,1
T20230001019,1,Dry,1
T20230001038,1,Dry,0
T20230001043,1,Dry,1
T20230001053,1,Dry,0
T20230001060,1,Dry,0
T20230001064,1,Dry,0
T20230001070,1,Dry,0
T20230001075,1,Dry,0
T20230001105,1,Dry,0
T20230001112,9,Unk.,0
T20230001131,1,Dry,0
T20230001143,1,Dry,1
T20230001187,1,Dry,0
T20230001204,1,Dry,0
T20230001223,1,Dry,0
T20230001233,1,Dry,0
T20230001252,1,Dry,0
T20230001274,9,Unk.,0
T20230001277,2,Wet,0
T20230001285,1,Dry,0
T20230001310,2,Wet,0
T20230001325,1,Dry,0
T20230001337,1,Dry,0
T20230001341,2,Wet,1
T20200022100,1,Dry,1
T20200022117,1,Dry,1
T20200022121,1,Dry,1
T20200022123,9,Unk.,0
T20200022143,1,Dry,1
T20200022147,1,Dry,0
T20200022151,1,Dry,0
T20200022179,1,Dry,0
T20200022186,1,Dry,1
T20200022198,1,Dry,0
T20200022205,1,Dry,1
T20200022211,1,Dry,0
T20200022233,1,Dry,0
T20200022244,1,Dry,1
T20200022271,1,Dry,0
T20200022278,1,Dry,1
T20200022313,1,Dry,0
T20200022324,1,Dry,1
T20200022332,1,Dry,1
T20200022341,1,Dry,1
T20200022343,1,Dry,1
T20200022351,1,Dry,1
T20200022370,1,Dry,1
T20200022376,1,Dry,1
T20200022394,1,Dry,0
T20200022443,1,Dry,0
T20200022448,1,Dry,1
T20200022451,1,Dry,0
T20200022478,1,Dry,0
T20200022501,1,Dry,1
T20200022508,1,Dry,0
T20200022511,1,Dry,0
T20200022526,1,Dry,1
T20200022545,1,Dry,1
T20200022553,1,Dry,1
T20200022560,1,Dry,1
T20200022600,1,Dry,1
T20200022613,1,Dry,1
T20200022631,1,Dry,1
T20200022666,1,Dry,0
T20200022672,1,Dry,1
T20200022707,1,Dry,1
T20200022745,9,Unk.,0
T20200022751,1,Dry,0
T20200022834,1,Dry,1
T20200022846,1,Dry,1
T20200022857,1,Dry,0
T20200022863,1,Dry,1
T20200022876,1,Dry,0
T20200022896,1,Dry,1
T20200022905,2,Wet,1
T20200022917,1,Dry,1
T20200022948,1,Dry,1
T20200022958,1,Dry,1
T20200022971,1,Dry,1
T20200022992,1,Dry,1
T20200022999,1,Dry,1
T20200023011,1,Dry,1
T20200023018,1,Dry,1
T20200023021,1,Dry,1
T20200023062,1,Dry,0
T20200023072,1,Dry,1
T20200023144,9,Unk.,1
T20200023163,9,Unk.,1
T20200023175,1,Dry,1
T20200023181,1,Dry,0
T20200023198,9,Unk.,0
T20200023206,9,Unk.,0
T20200023219,1,Dry,1
T20230019562,1,Dry,0
T20230019568,1,Dry,1
T20230019614,1,Dry,0
T20230019615,2,Wet,0
T20230019625,2,Wet,1
T20230019635,2,Wet,0
T20230019640,2,Wet,1
T20230019655,1,Dry,0
T20230019672,9,Unk.,0
T20230019679,1,Dry,0
T20230019682,1,Dry,1
T20230019683,1,Dry,1
T20230019699,1,Dry,0
T20230019714,1,Dry,1
T20230019723,9,Unk.,0
T20230019746,1,Dry,1
T20230019756,1,Dry,0
T20230019766,1,Dry,0
T20230019794,1,Dry,0
T20230019807,2,Wet,1
T20230019815,1,Dry,0
T20230019820,1,Dry,0
T20230019831,1,Dry,0
T20230019840,2,Wet,0
T20230019849,1,Dry,1
T20230019852,1,Dry,0
T20230019859,1,Dry,0
T20230019874,1,Dry,1
T20230019883,1,Dry,0
T20230019900,1,Dry,0
T20230019903,2,Wet,0
T20230019917,1,Dry,0
T20230019920,1,Dry,0
T20230019988,1,Dry,0
T20230019993,1,Dry,0
T20230020004,1,Dry,1
T20230020009,1,Dry,1
T20230020030,1,Dry,1
T20230020052,1,Dry,1
T20230020081,1,Dry,0
T20230020088,1,Dry,1
T20230020091,1,Dry,0
T20230020117,1,Dry,1
T20230020136,1,Dry,1
T20230020146,1,Dry,1
T20230020166,1,Dry,1
T20230020176,2,Wet,1
T20230020196,1,Dry,1
T20230020220,2,Wet,1
T20230020230,2,Wet,1
T20230020245,2,Wet,0
T20230020255,1,Dry,0
T20230020287,9,Unk.,0
T20230020303,1,Dry,0
T20230020313,1,Dry,0
T20230020328,1,Dry,1
T20230020334,1,Dry,0
T20230020344,1,Dry,0
T20230020356,9,Unk.,0
T20230020361,1,Dry,0
T20230020416,1,Dry,0
T20230020433,2,Wet,0
T20230020455,1,Dry,1
T20230020478,1,Dry,1
T20230020506,1,Dry,0
T20230020511,1,Dry,1
T20230020523,1,Dry,0
T20230020559,1,Dry,1
T20230020606,1,Dry,0
T20230020653,1,Dry,1
T20230020670,1,Dry,0
T20230020674,1,Dry,0
T20230020684,9,Unk.,0
T20230020695,1,Dry,1
T20230020703,1,Dry,1
T20230020711,9,Unk.,0
T20230020718,1,Dry,0
T20230020750,1,Dry,1
T20230020755,1,Dry,0
T20230020758,1,Dry,0
T20230020763,2,Wet,0
T20230020775,1,Dry,1
T20230020784,2,Wet,1
T20230020840,1,Dry,1
T20230020845,1,Dry,1
T20230020863,1,Dry,0
T20230020867,1,Dry,1
T20230020870,1,Dry,1
T20230020887,1,Dry,0
T20230020898,1,Dry,1
T20230020907,1,Dry,0
T20230020915,1,Dry,1
T20230020920,1,Dry,1
T20230020932,1,Dry,0
T20230020939,1,Dry,0
T20230020981,2,Wet,1
T20230021007,2,Wet,1
T20230021042,1,Dry,0
T20230021053,1,Dry,1
T20230021078,2,Wet,1
T20230021107,2,Wet,1
T20230021126,1,Dry,1
T20230021127,1,Dry,1
T20230021148,1,Dry,1
T20230021153,1,Dry,0
T20230021178,1,Dry,0
T20200010490,1,Dry,1
T20200010492,2,Wet,0
T20200010501,1,Dry,1
T20200010502,2,Wet,1
T20200010570,1,Dry,1
T20200010603,2,Wet,0
T20200010605,1,Dry,1
T20200010632,9,Unk.,1
T20200010673,2,Wet,1
T20200010706,1,Dry,1
T20200010716,1,Dry,0
T20200010718,1,Dry,1
T20200010722,1,Dry,1
T20200010727,9,Unk.,0
T20200010734,1,Dry,0
T20200010741,1,Dry,1
T20200010782,1,Dry,1
T20200010801,1,Dry,0
T20200010815,1,Dry,0
T20200010838,1,Dry,1
T20200010841,1,Dry,1
T20200010868,1,Dry,1
T20200010873,1,Dry,1
T20200010875,1,Dry,1
T20200010921,1,Dry,0
T20200010932,2,Wet,0
T20200010974,1,Dry,1
T20200010981,9,Unk.,0
T20200011005,1,Dry,1
T20200011030,1,Dry,0
T20200011035,1,Dry,1
T20200011049,1,Dry,1
T20200011069,1,Dry,1
T20200011070,1,Dry,1
T20200011079,1,Dry,0
T20200011128,1,Dry,1
T20200011131,1,Dry,0
T20200011137,1,Dry,1
T20200011141,1,Dry,1
T20200011143,1,Dry,1
T20200011151,1,Dry,0
T20220025737,5,Icy,1
T20220025749,1,Dry,1
T20220025759,1,Dry,1
T20220025760,2,Wet,1
T20220025774,1,Dry,1
T20220025787,1,Dry,1
T20220025792,3,Muddy,0
T20220025797,1,Dry,0
T20220025805,1,Dry,1
T20220025821,9,Unk.,0
T20220025840,2,Wet,0
T20220025847,1,Dry,1
T20220025849,2,Wet,1
T20220025852,5,Icy,1
T20220025883,2,Wet,1
T20220025965,1,Dry,0
T20220025971,1,Dry,0
T20220025977,9,Unk.,1
T20220026006,9,Unk.,0
T20220026016,1,Dry,1
T20220026032,1,Dry,1
T20220026039,1,Dry,0
T20220026058,1,Dry,0
T20220026062,1,Dry,1
T20220026069,1,Dry,1
T20220026074,1,Dry,1
T20220026076,1,Dry,0
T20220026114,1,Dry,1
T20220026133,1,Dry,1
T20220026141,1,Dry,0
T20220026143,1,Dry,1
T20220026150,1,Dry,1
T20220026154,1,Dry,0
T20220026172,1,Dry,0
T20220026174,1,Dry,1
T20220026180,1,Dry,0
T20220026186,2,Wet,1
T20220006988,1,Dry,1
T20220007026,1,Dry,0
T20220007046,1,Dry,1
T20220007048,1,Dry,0
T20220007066,1,Dry,0
T20220007070,1,Dry,1
T20220007079,1,Dry,1
T20220007095,1,Dry,1
T20220007109,1,Dry,1
T20220007119,1,Dry,1
T20220007169,1,Dry,0
T20220007191,1,Dry,1
T20220007203,9,Unk.,1
T20220007205,1,Dry,1
T20220007221,1,Dry,1
T20220007227,1,Dry,1
T20220007235,1,Dry,1
T20220007237,1,Dry,0
T20220007271,2,Wet,0
T20220007284,1,Dry,1
T20220007311,1,Dry,1
T20220007320,1,Dry,1
T20220007325,1,Dry,1
T20220007327,1,Dry,0
T20220007334,1,Dry,1
T20220007370,1,Dry,1
T20220007372,2,Wet,1
T20220007385,1,Dry,1
T20230021187,1,Dry,1
T20230021218,1,Dry,1
T20230021230,1,Dry,1
T20230021272,1,Dry,1
T20230021282,1,Dry,0
T20230021289,1,Dry,1
T20230021305,2,Wet,0
T20230021322,1,Dry,1
T20230021346,9,Unk.,0
T20230021353,1,Dry,0
T20230021358,1,Dry,1
T20230021366,1,Dry,0
T20230021375,1,Dry,0
T20230021380,1,Dry,1
T20230021381,1,Dry,1
T20230021406,1,Dry,0
T20230021425,1,Dry,1
T20230021430,1,Dry,0
T20230021437,1,Dry,0
T20230021452,9,Unk.,0
T20230021461,1,Dry,0
T20230021481,1,Dry,0
T20230021506,1,Dry,0
T20230021525,1,Dry,0
T20230021530,1,Dry,1
T20230021535,1,Dry,0
T20230021547,9,Unk.,0
T20230021552,1,Dry,1
T20230021567,1,Dry,0
T20230021568,1,Dry,0
T20230021588,9,Unk.,0
T20230021600,1,Dry,1
T20220013315,2,Wet,1
T20220013316,2,Wet,0
T20220013325,2,Wet,0
T20220013336,1,Dry,0
T20220013347,2,Wet,1
T20220013368,2,Wet,1
T20220013377,1,Dry,0
T20220013392,9,Unk.,0
T20220013399,2,Wet,1
T20220013406,1,Dry,0
T20220013422,2,Wet,0
T20220013429,3,Muddy,0
T20220013440,1,Dry,0
T20220013464,1,Dry,1
T20220013489,1,Dry,0
T20220013502,2,Wet,0
T20220013511,1,Dry,0
T20220013518,2,Wet,1
T20220013543,1,Dry,0
T20220013548,1,Dry,0
T20220013556,1,Dry,1
T20220013574,1,Dry,1
T20220013584,1,Dry,0
T20220013590,1,Dry,0
T20220013602,1,Dry,1
T20220013626,1,Dry,0
T20220013630,2,Wet,0
T20220013655,9,Unk.,1
T20220013669,2,Wet,1
T20220013683,9,Unk.,0
T20220013696,1,Dry,0
T20220013707,1,Dry,1
T20220013716,2,Wet,1
T20220013747,9,Unk.,1
T20220013776,1,Dry,0
T20220013821,1,Dry,0
T20220013842,1,Dry,1
T20220013883,1,Dry,1
T20220013899,9,Unk.,0
T20220013910,1,Dry,1
T20220013925,1,Dry,1
T20220013993,1,Dry,1
T20220014008,1,Dry,1
T20220014060,2,Wet,0
T20220014085,1,Dry,1
T20220014095,1,Dry,1
T20220014113,1,Dry,0
T20220014127,2,Wet,1
T20220014133,2,Wet,1
T20220014158,1,Dry,1
T20220014172,1,Dry,1
T20220014211,2,Wet,0
T20220014218,2,Wet,0
T20220014234,2,Wet,1
T20220014252,2,Wet,0
T20220014266,1,Dry,0
T20220014283,1,Dry,1
T20220014301,1,Dry,1
T20220014308,1,Dry,0
T20220014317,1,Dry,0
T20220014318,1,Dry,0
T20220014328,1,Dry,1
T20220014342,1,Dry,1
T20220014385,1,Dry,0
T20220014401,1,Dry,1
T20220014417,2,Wet,1
T20220014450,1,Dry,1
T20220014477,9,Unk.,0
T20220014528,1,Dry,1
T20220014537,9,Unk.,1
T20220014540,1,Dry,1
T20220014550,1,Dry,0
T20220014574,1,Dry,1
T20220014590,9,Unk.,0
T20200023230,1,Dry,0
T20200023246,1,Dry,0
T20200023249,2,Wet,0
T20200023261,9,Unk.,1
T20200023276,2,Wet,1
T20200023283,2,Wet,0
T20200023297,2,Wet,1
T20200023305,1,Dry,0
T20200023341,1,Dry,0
T20200023381,1,Dry,1
T20200023403,1,Dry,1
T20200023434,2,Wet,1
T20200023476,1,Dry,1
T20200023507,1,Dry,1
T20200023515,1,Dry,1
T20200023535,1,Dry,1
T20200023549,1,Dry,0
T20200023559,9,Unk.,1
T20200023560,1,Dry,1
T20200023588,1,Dry,1
T20200023591,1,Dry,0
T20200023598,1,Dry,1
T20200023605,1,Dry,0
T20200023611,2,Wet,0
T20200023661,1,Dry,0
T20200023691,1,Dry,1
T20200023696,1,Dry,1
T20200023738,1,Dry,1
T20200023759,1,Dry,1
T20200023774,1,Dry,1
T20200023777,1,Dry,0
T20200023788,1,Dry,0
T20200023791,1,Dry,1
T20200023804,1,Dry,1
T20200023825,1,Dry,0
T20200023833,1,Dry,1
T20200023863,1,Dry,0
T20200023870,1,Dry,1
T20200023873,1,Dry,0
T20200023889,1,Dry,1
T20200023892,1,Dry,1
T20210000053,1,Dry,1
T20210000062,1,Dry,1
T20210000085,1,Dry,0
T20210000092,9,Unk.,1
T20210000099,1,Dry,1
T20210000107,2,Wet,0
T20210000139,1,Dry,0
T20210000190,1,Dry,1
T20210000199,2,Wet,1
T20210000209,2,Wet,0
T20210000214,2,Wet,1
T20210000219,1,Dry,1
T20210000239,1,Dry,1
T20210000247,2,Wet,1
T20210000258,1,Dry,1
T20210000262,1,Dry,1
T20210000272,1,Dry,0
T20210000279,1,Dry,1
T20210000280,1,Dry,0
T20210000289,1,Dry,1
T20210000294,2,Wet,1
T20210000299,2,Wet,1
T20210000300,1,Dry,1
T20210000340,1,Dry,1
T20210000357,9,Unk.,0
T20210000360,9,Unk.,0
T20210000367,1,Dry,0
T20210000399,1,Dry,0
T20210000408,1,Dry,1
T20210000412,1,Dry,1
T20210000416,1,Dry,1
T20210000459,1,Dry,0
T20210000464,9,Unk.,1
T20210000487,1,Dry,1
T20210000492,1,Dry,1
T20210000497,1,Dry,1
T20210000528,1,Dry,1
T20210000537,1,Dry,1
T20210000548,1,Dry,0
T20210000553,1,Dry,1
T20210000562,1,Dry,1
T20210000576,1,Dry,1
T20210000594,2,Wet,1
T20210000594,3,Muddy,2
T20210000613,1,Dry,0
T20210000636,1,Dry,1
T20210000651,1,Dry,1
T20210000654,1,Dry,1
T20210000663,1,Dry,1
T20210000681,1,Dry,1
T20210000694,9,Unk.,1
T20210000719,1,Dry,1
T20210000727,1,Dry,1
T20210000759,1,Dry,1
T20210000760,1,Dry,0
T20210000764,1,Dry,1
T20210000773,1,Dry,0
T20210000776,1,Dry,0
T20210000781,9,Unk.,1
T20210000793,1,Dry,0
T20210000804,1,Dry,0
T20210000818,1,Dry,0
T20210000820,1,Dry,1
T20210000822,1,Dry,1
T20210000830,1,Dry,1
T20230002301,1,Dry,1
T20230002311,1,Dry,0
T20230002328,1,Dry,1
T20230002336,1,Dry,1
T20230002337,1,Dry,0
T20230002365,1,Dry,1
T20230002385,1,Dry,1
T20230002387,9,Unk.,1
T20230002397,1,Dry,0
T20230002402,1,Dry,0
T20230002403,1,Dry,0
T20230002413,1,Dry,1
T20230002422,9,Unk.,0
T20230002437,1,Dry,0
T20230002447,1,Dry,0
T20230002460,1,Dry,1
T20230002469,1,Dry,1
